GEN	3	22	3	H120	man
GEN	3	22	4	H259	one
GEN	3	22	5	H3045	know
GEN	3	22	6	H2896	good
GEN	3	22	7	H7451	evil
GEN	3	22	8	H7971	forth
GEN	3	22	9	H3027	hand
GEN	3	22	10	H3947	take
GEN	3	22	11	H6086	tree
GEN	3	22	12	H2416	life
GEN	3	22	13	H398	eat
GEN	3	22	14	H2425	live
GEN	3	22	15	H5769	ever
GEN	3	23	0	H430	God
GEN	3	23	1	H7971	forth
GEN	3	23	2	H1588	garden
GEN	3	23	3	H5731	Eden
GEN	3	23	4	H5647	till
GEN	3	23	5	H127	ground
GEN	3	23	6	H3947	taken
GEN	3	24	0	H1644	out
GEN	3	24	1	H120	man
GEN	3	24	2	H7931	placed
GEN	3	24	3	H6924	east
GEN	3	24	4	H1588	garden
GEN	3	24	5	H5731	Eden
GEN	3	24	6	H3742	Cherubims
GEN	3	24	7	H3858	flaming
GEN	3	24	8	H2719	sword
GEN	3	24	9	H2015	way
GEN	3	24	10	H8104	keep
GEN	3	24	11	H1870	way
GEN	3	24	12	H6086	tree
GEN	3	24	13	H2416	life
GEN	4	1	0	H120	Adam
GEN	4	1	1	H3045	knew
GEN	4	1	2	H2332	Eve
GEN	4	1	3	H802	wife
GEN	4	1	4	H2029	conceived
GEN	4	1	5	H3205	bare
GEN	4	1	6	H7014	Cain
GEN	4	1	7	H559	said
GEN	4	1	8	H7069	gotten
GEN	4	1	9	H376	man
GEN	4	1	10	H854	from
GEN	4	2	0	H3254	again
GEN	4	2	1	H3205	bare
GEN	4	2	2	H251	brother
GEN	4	2	3	H1893	Abel Abel
GEN	4	2	4	H7462	keeper
GEN	4	2	5	H6629	sheep
GEN	4	2	6	H7014	Cain
GEN	4	2	7	H5647	tiller
GEN	4	2	8	H127	ground
GEN	4	3	0	H7093	process
GEN	4	3	1	H3117	time
